Date,Trend
2012-12-01,75
2012-12-02,81
2012-12-03,91
2012-12-04,76
2012-12-05,76
2012-12-06,59
2012-12-07,60
2012-12-08,70
2012-12-09,71
2012-12-10,80
2012-12-11,74
2012-12-12,71
2012-12-13,67
2012-12-14,68
2012-12-15,91
2012-12-16,91
2012-12-17,100
2012-12-18,76
2012-12-19,74
2012-12-20,63
2012-12-21,68
2012-12-22,85
2012-12-23,58
2012-12-24,65
2012-12-25,29
2012-12-26,42
2012-12-27,58
2012-12-28,55
2012-12-29,68
2012-12-30,50
2012-12-31,55
2013-01-01,44
2013-01-02,63
2013-01-03,57
2013-01-04,53
2013-01-05,76
2013-01-06,66
2013-01-07,70
2013-01-08,59
2013-01-09,56
2013-01-10,52
2013-01-11,46
2013-01-12,61
2013-01-13,46
2013-01-14,51
2013-01-15,44
2013-01-16,43
2013-01-17,43
2013-01-18,44
2013-01-19,64
2013-01-20,58
2013-01-21,64
2013-01-22,52
2013-01-23,50
2013-01-24,46
2013-01-25,45
2013-01-26,50
2013-01-27,42
2013-01-28,52
2013-01-29,44
2013-01-30,44
2013-01-31,43
2013-02-01,58
2013-02-02,81
2013-02-03,77
2013-02-04,89
2013-02-05,72
2013-02-06,63
2013-02-07,62
2013-02-08,55
2013-02-09,69
2013-02-10,53
2013-02-11,69
2013-02-12,67
2013-02-13,62
2013-02-14,54
2013-02-15,54
2013-02-16,79
2013-02-17,83
2013-02-18,100
2013-02-19,73
2013-02-20,66
2013-02-21,61
2013-02-22,61
2013-02-23,68
2013-02-24,55
2013-02-25,66
2013-02-26,63
2013-02-27,61
2013-02-28,58
2013-03-01,60
2013-03-02,85
2013-03-03,76
2013-03-04,90
2013-03-05,67
2013-03-06,62
2013-03-07,59
2013-03-08,57
2013-03-09,73
2013-03-10,56
2013-03-11,77
2013-03-12,59
2013-03-13,59
2013-03-14,58
2013-03-15,60
2013-03-16,81
2013-03-17,85
2013-03-18,99
2013-03-19,78
2013-03-20,73
2013-03-21,63
2013-03-22,66
2013-03-23,79
2013-03-24,68
2013-03-25,89
2013-03-26,80
2013-03-27,73
2013-03-28,66
2013-03-29,49
2013-03-30,88
2013-03-31,43
2013-04-01,60
2013-04-02,80
2013-04-03,70
2013-04-04,69
2013-04-05,64
2013-04-06,87
2013-04-07,79
2013-04-08,94
2013-04-09,72
